DD Proportion: 0.268721
Friday/Saturday Proportion: 0.327922
MI DD Proportion: 0.32766
MI Dark Proportion: 0.453191
State Code,# People
1,1791
2,171
4,2178
5,1043
6,8152
8,1386
9,543
10,236
11,53
12,6767
13,3424
15,208
16,527
17,2336
18,1896
19,627
20,927
21,1611
22,1502
23,351
24,1163
25,639
26,2190
27,777
28,1402
29,2041
30,382
31,441
32,687
33,200
34,1232
35,870
36,2072
37,2981
38,221
39,2546
40,1423
41,861
42,2401
44,146
45,2003
46,224
47,2139
48,7946
49,621
50,124
51,1599
53,1158
54,570
55,1220
56,224
